POS,Player,TEAM,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
83,Ravichandran Ashwin,RR,13,10,4,67,30,11.17,51,131.37,0,0,5,3
84,Lalit Yadav,DC,6,6,1,66,38,13.20,59,111.86,0,0,8,0
85,Krishnappa Gowtham,LSG,7,7,3,61,23,15.25,37,164.86,0,0,2,5
86,Washington Sundar,SRH,7,5,1,60,24*,15.00,60,100.00,0,0,6,0
87,Michael Bracewell,RCB,5,4,2,58,26,29.00,47,123.40,0,0,6,1
88,Sarfaraz Khan,DC,4,4,0,53,30,13.25,62,85.48,0,0,4,1
89,Harpreet Brar,PBKS,13,8,2,52,17*,8.67,41,126.82,0,0,5,2
90,Ripal Patel,DC,5,4,1,49,23,16.33,43,113.95,0,0,3,1
91,Shahbaz Ahmed,RCB,10,6,2,42,20*,10.50,39,107.69,0,0,3,1
92,Bhuvneshwar Kumar,SRH,14,6,3,42,27,14.00,47,89.36,0,0,4,0
93,Glenn Phillips,SRH,5,5,0,39,25,7.80,22,177.27,0,0,2,4
94,Marco Jansen,SRH,8,6,3,39,17*,13.00,43,90.69,0,0,4,0
95,Anrich Nortje,DC,10,7,4,37,23*,12.33,29,127.58,0,0,6,0
96,Vishnu Vinod,MI,3,3,0,37,30,12.33,31,119.35,0,0,2,2
97,Suyash S Prabhudessai,RCB,5,4,0,35,19,8.75,29,120.68,0,0,1,2
98,David Willey,RCB,4,3,3,35,20*,-,32,109.37,0,0,4,0
99,Wanindu Hasaranga,RCB,8,5,3,33,12*,16.50,28,117.85,0,0,3,0
100,Abishek Porel,DC,4,4,0,33,20,8.25,31,106.45,0,0,1,2
101,Kuldeep Yadav,DC,14,10,8,31,10*,15.50,48,64.58,0,0,2,0
102,Dasun Shanaka,GT,3,3,1,26,17,13.00,26,100.00,0,0,2,1
103,Piyush Chawla,MI,16,4,2,25,18,12.50,22,113.63,0,0,1,1
104,Tristan Stubbs,MI,2,2,0,25,20,12.50,31,80.64,0,0,2,0
105,Hrithik Shokeen,MI,8,3,2,23,18*,23.00,17,135.29,0,0,4,0
106,Anukul Roy,KKR,4,4,2,23,13*,11.50,19,121.05,0,0,3,0
107,Adil Rashid,SRH,2,2,0,22,18,11.00,16,137.50,0,0,2,1
108,Priyam Garg,DC,2,2,0,22,12,11.00,23,95.65,0,0,1,0
109,David Wiese,KKR,3,3,2,21,12*,21.00,11,190.90,0,0,0,3
110,Mayank Markande,SRH,10,3,3,21,18*,-,13,161.53,0,0,2,1
111,Sunil Narine,KKR,14,10,3,21,7*,3.00,25,84.00,0,0,2,1
112,Rishi Dhawan,PBKS,6,3,1,20,19,10.00,12,166.66,0,0,1,1
113,Ravi Bishnoi,LSG,15,7,4,20,5,6.67,27,74.07,0,0,1,0
114,Umran Malik,SRH,8,2,1,19,19*,19.00,8,237.50,0,0,1,2
115,Umesh Yadav,KKR,8,5,3,19,6*,9.50,18,105.55,0,0,1,0
116,Amit Mishra,LSG,7,1,0,19,19,19.00,30,63.33,0,0,2,0
117,Arshad Khan,MI,6,3,1,18,15*,9.00,15,120.00,0,0,0,1
118,Akash Deep,RCB,2,1,0,17,17,17.00,8,212.50,0,0,2,1
119,Akeal Hosein,SRH,1,1,1,16,16*,-,10,160.00,0,0,1,1
120,Trent Boult,RR,10,4,3,16,15,16.00,14,114.28,0,0,1,1
121,Praveen Dubey,DC,1,1,0,16,16,16.00,20,80.00,0,0,2,0
122,Naveen-ul-Haq,LSG,8,3,2,16,13,16.00,21,76.19,0,0,2,0
123,Yash Dhull,DC,4,3,0,16,13,5.33,23,69.56,0,0,1,0
124,Ben Stokes,CSK,2,2,0,15,8,7.50,14,107.14,0,0,2,0
125,Mandeep Singh,KKR,3,3,0,14,12,4.67,16,87.50,0,0,0,1
126,Arjun Tendulkar,MI,4,1,0,13,13,13.00,9,144.44,0,0,0,1
127,Vyshak Vijaykumar,RCB,7,2,1,13,13*,13.00,9,144.44,0,0,0,1
128,Kedar Jadhav,RCB,2,1,1,12,12*,-,10,120.00,0,0,1,0
129,Jason Holder,RR,8,3,1,12,11,6.00,11,109.09,0,0,0,1
130,Karan Sharma,LSG,2,2,0,12,9,6.00,21,57.14,0,0,0,0
131,Mark Wood,LSG,4,2,1,11,10*,11.00,5,220.00,0,0,1,1
132,Sanvir Singh,SRH,2,2,1,11,7,11.00,9,122.22,0,0,1,1
133,Manan Vohra,LSG,1,1,0,10,10,10.00,11,90.90,0,0,1,0
134,Joe Root,RR,3,1,0,10,10,10.00,15,66.66,0,0,1,0
135,Adam Zampa,RR,6,3,0,10,7,3.33,16,62.50,0,0,0,0
136,Jaydev Unadkat,LSG,3,1,0,9,9,9.00,7,128.57,0,0,1,0
137,Noor Ahmad,GT,13,3,1,8,7*,4.00,9,88.88,0,0,1,0
138,Mukesh Kumar,DC,10,3,3,7,6*,-,9,77.77,0,0,0,0
139,Rovman Powell,DC,3,3,0,7,4,2.33,9,77.77,0,0,1,0
140,Alzarri Joseph,GT,7,2,2,7,7*,-,12,58.33,0,0,1,0
141,Harshal Patel,RCB,13,2,0,6,6,3.00,6,100.00,0,0,0,1
142,Kumar Kartikeya Singh,MI,8,1,0,6,6,6.00,7,85.71,0,0,1,0
143,Jason Behrendorff,MI,12,2,2,6,3*,-,9,66.66,0,0,0,0
144,Chris Jordan,MI,6,2,0,6,4,3.00,12,50.00,0,0,0,0
145,Mohammad Shami,GT,17,2,0,5,5,2.50,6,83.33,0,0,1,0
146,Litton Das,KKR,1,1,0,4,4,4.00,4,100.00,0,0,1,0
147,Jofra Archer,MI,5,2,2,4,3*,-,4,100.00,0,0,0,0
148,Chetan Sakariya,DC,2,2,1,4,4,4.00,6,66.66,0,0,1,0
149,Vaibhav Arora,KKR,5,2,2,3,2*,-,2,150.00,0,0,0,0
150,Karn Sharma,RCB,7,2,0,3,2,1.50,5,60.00,0,0,0,0
151,Arshdeep Singh,PBKS,14,2,2,2,2*,-,2,100.00,0,0,0,0
152,Mitchell Santner,CSK,3,2,2,2,1*,-,4,50.00,0,0,0,0
153,Swapnil Singh,LSG,2,1,1,2,2*,-,4,50.00,0,0,0,0
154,Wayne Parnell,RCB,7,1,0,2,2,2.00,5,40.00,0,0,0,0
155,Sandeep Sharma,RR,12,2,2,2,2*,-,6,33.33,0,0,0,0
156,Mustafizur Rahman,DC,2,1,1,1,1*,-,1,100.00,0,0,0,0
157,Ishant Sharma,DC,8,1,1,1,1*,-,1,100.00,0,0,0,0
158,Abdul Basith,RR,1,1,1,1,1*,-,1,100.00,0,0,0,0
159,Deepak Chahar,CSK,10,1,1,1,1*,-,2,50.00,0,0,0,0
160,Mohit Rathee,PBKS,1,1,1,1,1*,-,2,50.00,0,0,0,0
161,Josh Hazlewood,RCB,3,1,1,1,1*,-,2,50.00,0,0,0,0
162,Mohammed Siraj,RCB,14,2,1,1,1*,1.00,2,50.00,0,0,0,0
163,Yudhvir Singh,LSG,3,2,0,1,1,0.50,2,50.00,0,0,0,0
164,Fazalhaq Farooqi,SRH,4,1,1,1,1*,-,5,20.00,0,0,0,0
165,Nathan Ellis,PBKS,10,2,0,1,1,0.50,7,14.28,0,0,0,0
166,Varun Chakaravarthy,KKR,14,2,1,1,1,1.00,9,11.11,0,0,0,0
