Pos,Team,Players,Rating,Career Best Rating,event,type
54,WEST INDIES,Gudakesh MOTIE,486,516 V AUSTRALIA AT SYDNEY 2024,ODI,Bowler
55,IRELAND,Craig YOUNG,484,496 V ZIMBABWE AT HARARE 2023,ODI,Bowler
56,NEW ZEALAND,Lockie FERGUSON,484,667 V WEST INDIES AT OLD TRAFFORD 2019,ODI,Bowler
57,OMAN,Zeeshan MAQSOOD,483,510 V UNITED ARAB EMIRATES AT BULAWAYO 2023,ODI,Bowler
58,OMAN,KALEEMULLAH,481,481 V WEST INDIES AT HARARE 2023,ODI,Bowler
59,ZIMBABWE,Blessing MUZARABANI,480,515 V AFGHANISTAN AT HARARE 2022,ODI,Bowler
60,USA,Nosthush KENJIGE,479,479 V UNITED ARAB EMIRATES AT HARARE 2023,ODI,Bowler
61,SCOTLAND,Safyaan SHARIF,477,543 V ENGLAND AT EDINBURGH 2018,ODI,Bowler
62,UNITED ARAB EMIRATES,Rohan MUSTAFA,473,523 V WEST INDIES AT SHARJAH 2023,ODI,Bowler
63,PAKISTAN,Mohammad NAWAZ,468,549 V NEW ZEALAND AT KARACHI 2023,ODI,Bowler
64,SOUTH AFRICA,Gerald COETZEE,465,479 V AUSTRALIA AT KOLKATA 2023,ODI,Bowler
65,PAPUA NEW GUINEA,Assad VALA,464,467 V NEPAL AT DUBAI 2023,ODI,Bowler
66,PAPUA NEW GUINEA,Chad SOPER,462,488 V UNITED ARAB EMIRATES AT DUBAI 2023,ODI,Bowler
67,BANGLADESH,Taskin AHMED,458,528 V WEST INDIES AT GUYANA 2022,ODI,Bowler
68,NEPAL,Dipendra SINGH AIREE,458,482 V USA AT HARARE 2023,ODI,Bowler
69,ENGLAND,Mark WOOD,447,609 V AFGHANISTAN AT OLD TRAFFORD 2019,ODI,Bowler
70,UNITED ARAB EMIRATES,Zahoor KHAN,446,490 V WEST INDIES AT SHARJAH 2023,ODI,Bowler
71,INDIA,Shardul THAKUR,440,546 V WEST INDIES AT TRINIDAD 2023,ODI,Bowler
72,UNITED ARAB EMIRATES,Junaid SIDDIQUE,439,440 V NEPAL AT HARARE 2023,ODI,Bowler
73,SCOTLAND,Michael LEASK,431,439 V NAMIBIA AT KIRTIPUR,ODI,Bowler
74,ENGLAND,Moeen ALI,431,623 V AUSTRALIA AT OLD TRAFFORD 2018,ODI,Bowler
75,PAKISTAN,Naseem SHAH,429,474 V INDIA AT COLOMBO (RPS) 2023,ODI,Bowler
76,NETHERLANDS,Fred KLAASSEN,427,507 V SOUTH AFRICA AT JOHANNESBURG 2023,ODI,Bowler
77,INDIA,Hardik PANDYA,424,549 V SOUTH AFRICA AT CENTURION 2018,ODI,Bowler
78,ENGLAND,Sam CURRAN,424,454 V BANGLADESH AT CHITTAGONG 2023,ODI,Bowler
79,NAMIBIA,Tangeni LUNGAMENI,421,443 V UNITED ARAB EMIRATES AT DUBAI 2023,ODI,Bowler
80,NEPAL,Karan KC,418,424 V PAKISTAN AT MULTAN 2023,ODI,Bowler
81,PAKISTAN,Shadab KHAN,418,599 V SOUTH AFRICA AT DURBAN 2019,ODI,Bowler
82,IRELAND,Graham HUME,418,418 V ZIMBABWE AT HARARE 2023,ODI,Bowler
83,SRI LANKA,Dushmantha CHAMEERA,417,552 V AUSTRALIA AT PALLEKELE 2022,ODI,Bowler
84,SCOTLAND,Brandon MCMULLEN,417,417 V NETHERLANDS AT BULAWAYO 2023,ODI,Bowler
85,SRI LANKA,Kasun RAJITHA,415,459 V AFGHANISTAN AT PUNE 2023,ODI,Bowler
86,PAKISTAN,Hasan ALI,415,764 V NEW ZEALAND AT WELLINGTON 2018,ODI,Bowler
87,NETHERLANDS,Paul VAN MEEKEREN,414,437 V BANGLADESH AT KOLKATA 2023,ODI,Bowler
88,NEW ZEALAND,Ish SODHI,412,565 V INDIA AT BAY OVAL 2019,ODI,Bowler
89,NEW ZEALAND,Tim SOUTHEE,411,632 V ENGLAND AT WELLINGTON 2015,ODI,Bowler
90,NEPAL,Sompal KAMI,409,457 V PAPUA NEW GUINEA AT KIRTIPUR,ODI,Bowler
91,USA,Nisarg PATEL,409,414 V JERSEY AT NAMIBIA 2023,ODI,Bowler
92,WEST INDIES,Jason HOLDER,404,607 V ZIMBABWE AT HARARE 2018,ODI,Bowler
93,NEPAL,Lalit RAJBANSHI,399,403 V PAKISTAN AT MULTAN 2023,ODI,Bowler
94,AUSTRALIA,Glenn MAXWELL,396,479 V ENGLAND AT HEADINGLEY 2015,ODI,Bowler
95,BANGLADESH,Taijul ISLAM,393,502 V ENGLAND AT CHITTAGONG 2023,ODI,Bowler
96,NETHERLANDS,Bas DE LEEDE,390,390 V INDIA AT BENGALURU 2023,ODI,Bowler
97,INDIA,Yuzvendra CHAHAL,387,724 V NEW ZEALAND AT NAPIER 2019,ODI,Bowler
98,SRI LANKA,Dhananjaya DE SILVA,385,480 V AFGHANISTAN AT HAMBANTOTA 2023,ODI,Bowler
99,SCOTLAND,Hamza TAHIR,385,484 V NEPAL AT GLASGOW 2022,ODI,Bowler
100,SOUTH AFRICA,Anrich NORTJE,385,479 V NETHERLANDS AT BENONI 2023,ODI,Bowler
1,BANGLADESH,Shakib AL HASAN,256,409 V PAKISTAN AT MIRPUR 2015,T20,All-Rounder
2,SOUTH AFRICA,Aiden MARKRAM,205,212 V INDIA AT GQEBERHA 2023,T20,All-Rounder
3,AFGHANISTAN,Mohammad NABI,203,355 V BANGLADESH AT MIRPUR 2019,T20,All-Rounder
4,ZIMBABWE,Sikandar RAZA,202,205 V SRI LANKA AT COLOMBO (RPS) 2024,T20,All-Rounder
5,AUSTRALIA,Marcus STOINIS,187,202 V INDIA AT TRIVANDRUM 2023,T20,All-Rounder
6,INDIA,Hardik PANDYA,185,266 V WEST INDIES AT GUYANA 2023,T20,All-Rounder
7,ENGLAND,Liam LIVINGSTONE,175,179 V NEW ZEALAND AT ABU DHABI 2021,T20,All-Rounder
8,ENGLAND,Moeen ALI,173,224 V SOUTH AFRICA AT CARDIFF 2022,T20,All-Rounder
9,SRI LANKA,Wanindu HASARANGA,170,186 V NEW ZEALAND AT DUNEDIN 2023,T20,All-Rounder
10,NAMIBIA,JJ SMIT,167,197 V ZIMBABWE AT NAMIBIA 2023,T20,All-Rounder
11,NAMIBIA,Gerhard ERASMUS,163,188 V ZIMBABWE AT NAMIBIA 2023,T20,All-Rounder
12,PAKISTAN,Shadab KHAN,157,195 V AFGHANISTAN AT SHARJAH 2023,T20,All-Rounder
13,AUSTRALIA,Glenn MAXWELL,142,368 V SRI LANKA AT COLOMBO (RPS) 2016,T20,All-Rounder
14,NEW ZEALAND,Mitchell SANTNER,132,136 V PAKISTAN AT DUNEDIN 2024,T20,All-Rounder
15,WEST INDIES,Romario SHEPHERD,129,140 V ENGLAND AT BARBADOS 2023,T20,All-Rounder
16,INDIA,Axar PATEL,124,127 V AFGHANISTAN AT INDORE 2024,T20,All-Rounder
17,OMAN,Zeeshan MAQSOOD,124,172 V CANADA AT OMAN 2022,T20,All-Rounder
18,NETHERLANDS,Bas DE LEEDE,123,123 V SOUTH AFRICA AT ADELAIDE 2022,T20,All-Rounder
19,ZIMBABWE,Sean WILLIAMS,121,225 V NEPAL AT SINGAPORE 2019,T20,All-Rounder
20,PAKISTAN,Mohammad NAWAZ,120,131 V SOUTH AFRICA AT SYDNEY 2022,T20,All-Rounder
21,IRELAND,Gareth DELANY,117,170 V AFGHANISTAN AT GREATER NOIDA 2020,T20,All-Rounder
22,IRELAND,Curtis CAMPHER,117,126 V ITALY AT EDINBURGH 2023,T20,All-Rounder
23,PAKISTAN,Iftikhar AHMED,114,122 V BANGLADESH AT ADELAIDE 2022,T20,All-Rounder
24,WEST INDIES,Jason HOLDER,109,113 V INDIA AT TRINIDAD 2023,T20,All-Rounder
25,PAPUA NEW GUINEA,Charles AMINI,106,140 V NEPAL AT KIRTIPUR,T20,All-Rounder
26,AFGHANISTAN,Rashid KHAN,104,125 V BANGLADESH AT SYLHET 2023,T20,All-Rounder
27,ZIMBABWE,Ryan BURL,104,154 V IRELAND AT BREADY 2021,T20,All-Rounder
28,IRELAND,Mark ADAIR,101,102 V ZIMBABWE AT HARARE 2023,T20,All-Rounder
29,SRI LANKA,Dhananjaya DE SILVA,100,103 V INDIA AT MUMBAI 2023,T20,All-Rounder
30,AUSTRALIA,Mitchell MARSH,98,154 V BANGLADESH AT MIRPUR 2021,T20,All-Rounder
31,AFGHANISTAN,Karim JANAT,98,115 V INDIA AT ABU DHABI 2021,T20,All-Rounder
32,SRI LANKA,Dasun SHANAKA,97,105 V NEW ZEALAND AT AUCKLAND 2023,T20,All-Rounder
33,NEW ZEALAND,James NEESHAM,96,111 V UNITED ARAB EMIRATES AT DUBAI 2023,T20,All-Rounder
34,NETHERLANDS,Colin ACKERMANN,93,93 V SOUTH AFRICA AT ADELAIDE 2022,T20,All-Rounder
35,PAPUA NEW GUINEA,Norman VANUA,92,155 V SINGAPORE AT SINGAPORE 2022,T20,All-Rounder
36,NAMIBIA,Jan FRYLINCK,92,97 V KENYA AT NAMIBIA 2023,T20,All-Rounder
37,SCOTLAND,Richie BERRINGTON,91,204 V IRELAND AT MALAHIDE 2019,T20,All-Rounder
38,AFGHANISTAN,Gulbadin NAIB,87,92 V IRELAND AT GREATER NOIDA 2020,T20,All-Rounder
39,SCOTLAND,Michael LEASK,87,90 V GERMANY AT EDINBURGH 2023,T20,All-Rounder
40,UNITED ARAB EMIRATES,Rohan MUSTAFA,87,174 V JERSEY AT ABU DHABI 2019,T20,All-Rounder
41,WEST INDIES,Akeal HOSEIN,84,84 V ENGLAND AT TRINIDAD 2023,T20,All-Rounder
42,ENGLAND,Sam CURRAN,81,82 V WEST INDIES AT GRENADA 2023,T20,All-Rounder
43,ZIMBABWE,Wessly MADHEVERE,80,127 V BANGLADESH AT HARARE 2022,T20,All-Rounder
44,BANGLADESH,Mahedi HASAN,79,104 V AFGHANISTAN AT SHARJAH 2022,T20,All-Rounder
45,WEST INDIES,Andre RUSSELL,77,112 V AUSTRALIA AT ST LUCIA 2021,T20,All-Rounder
46,UNITED ARAB EMIRATES,Ali NASEER,74,74 V AFGHANISTAN AT SHARJAH 2024,T20,All-Rounder
47,SRI LANKA,Chamika KARUNARATNE,72,87 V INDIA AT PUNE 2023,T20,All-Rounder
48,AFGHANISTAN,Azmatullah OMARZAI,71,75 V INDIA AT MOHALI 2024,T20,All-Rounder
49,BANGLADESH,Afif HOSSAIN,70,77 V UNITED ARAB EMIRATES AT DUBAI 2022,T20,All-Rounder
50,ENGLAND,Chris JORDAN,68,112 V SOUTH AFRICA AT SOUTHAMPTON 2022,T20,All-Rounder
51,ENGLAND,Ben STOKES,66,123 V INDIA AT AHMEDABAD 2021,T20,All-Rounder
52,PAPUA NEW GUINEA,Assad VALA,66,131 V BANGLADESH AT OMAN 2021,T20,All-Rounder
53,INDIA,Washington SUNDAR,66,66 V AFGHANISTAN AT BENGALURU 2024,T20,All-Rounder
54,UNITED ARAB EMIRATES,Basil HAMEED,62,65 V NEPAL AT KATHMANDU,T20,All-Rounder
55,IRELAND,Harry TECTOR,60,70 V BANGLADESH AT CHITTAGONG 2023,T20,All-Rounder
56,SCOTLAND,Chris GREAVES,60,72 V WEST INDIES AT HOBART 2022,T20,All-Rounder
57,WEST INDIES,Odean SMITH,59,71 V SOUTH AFRICA AT CENTURION 2023,T20,All-Rounder
58,NETHERLANDS,Roelof VAN DER MERWE,58,113 V PAPUA NEW GUINEA AT DUBAI 2019,T20,All-Rounder
59,WEST INDIES,Rovman POWELL,56,57 V ENGLAND AT GRENADA 2023,T20,All-Rounder
60,NEW ZEALAND,Glenn PHILLIPS,56,68 V INDIA AT LUCKNOW 2023,T20,All-Rounder
61,JERSEY,Benjamin WARD,55,59 V IRELAND AT EDINBURGH 2023,T20,All-Rounder
62,OMAN,Aqib ILYAS,54,54 V NEPAL AT KIRTIPUR,T20,All-Rounder
63,NEPAL,Kushal MALLA,54,54 V OMAN AT KIRTIPUR,T20,All-Rounder
64,AUSTRALIA,Cameron GREEN,54,67 V ENGLAND AT PERTH 2022,T20,All-Rounder
65,IRELAND,Paul STIRLING,53,204 V UNITED ARAB EMIRATES AT SYLHET 2014,T20,All-Rounder
66,ZIMBABWE,Luke JONGWE,53,72 V WEST INDIES AT HOBART 2022,T20,All-Rounder
67,INDIA,Shivam DUBE,53,57 V AFGHANISTAN AT INDORE 2024,T20,All-Rounder
68,WEST INDIES,Kyle MAYERS,52,53 V ENGLAND AT TRINIDAD 2023,T20,All-Rounder
69,UNITED ARAB EMIRATES,Aayan KHAN,52,52 V AFGHANISTAN AT SHARJAH 2024,T20,All-Rounder
70,PAPUA NEW GUINEA,Sese BAU,49,62 V USA AT BULAWAYO 2022,T20,All-Rounder
71,IRELAND,Barry MCCARTHY,49,53 V INDIA AT MALAHIDE 2023,T20,All-Rounder
72,HONG KONG,Yasim MURTAZA,49,49 V UNITED ARAB EMIRATES AT KATHMANDU,T20,All-Rounder
73,NEW ZEALAND,Daryl MITCHELL,47,52 V SRI LANKA AT DUNEDIN 2023,T20,All-Rounder
74,IRELAND,George DOCKRELL,46,60 V ZIMBABWE AT HARARE 2023,T20,All-Rounder
75,NEPAL,Dipendra SINGH AIREE,45,161 V KENYA AT NAIROBI 2022,T20,All-Rounder
76,KUWAIT,Mohammed ASLAM,45,45 V BAHRAIN AT KATHMANDU,T20,All-Rounder
77,BANGLADESH,Mehidy HASAN,44,60 V ENGLAND AT MIRPUR 2023,T20,All-Rounder
78,NEW ZEALAND,Mark CHAPMAN,43,46 V PAKISTAN AT AUCKLAND 2024,T20,All-Rounder
79,BANGLADESH,Mosaddek HOSSAIN,43,63 V ZIMBABWE AT BRISBANE 2022,T20,All-Rounder
80,INDIA,Virat KOHLI,42,152 V ENGLAND AT EDGBASTON 2014,T20,All-Rounder
81,SOUTH AFRICA,Wayne PARNELL,42,51 V PAKISTAN AT SYDNEY 2022,T20,All-Rounder
82,SCOTLAND,Mark WATT,42,49 V JERSEY AT EDINBURGH 2023,T20,All-Rounder
83,NEW ZEALAND,Tim SOUTHEE,41,63 V ENGLAND AT AUCKLAND 2019,T20,All-Rounder
84,BAHRAIN,Sarfaraz ALI,41,51 V SINGAPORE AT BANGI,T20,All-Rounder
85,NEW ZEALAND,Michael BRACEWELL,41,69 V PAKISTAN AT CHRISTCHURCH 2022,T20,All-Rounder
86,MALAYSIA,Virandeep SINGH,40,42 V OMAN AT KIRTIPUR,T20,All-Rounder
87,UGANDA,Alpesh RAMJANI,40,43 V RWANDA AT BENONI 2023,T20,All-Rounder
88,SOUTH AFRICA,Keshav MAHARAJ,39,39 V INDIA AT JOHANNESBURG 2023,T20,All-Rounder
89,BERMUDA,Kamau LEVEROCK,39,48 V ARGENTINA AT ANTIGUA 2021,T20,All-Rounder
90,INDIA,Ravindra JADEJA,38,70 V HONG KONG AT DUBAI 2022,T20,All-Rounder
91,INDIA,Deepak HOODA,38,59 V NEW ZEALAND AT LUCKNOW 2023,T20,All-Rounder
92,KENYA,Rakep PATEL,37,55 V UGANDA AT RWANDA 2021,T20,All-Rounder
93,SOUTH AFRICA,Kagiso RABADA,37,43 V INDIA AT PERTH 2022,T20,All-Rounder
94,NETHERLANDS,Max O'DOWD,37,47 V KENYA AT DUBAI (GCA) 2019,T20,All-Rounder
95,WEST INDIES,Alzarri JOSEPH,37,40 V ENGLAND AT GRENADA 2023,T20,All-Rounder
96,NEPAL,Gulshan JHA,37,37 V OMAN AT KIRTIPUR,T20,All-Rounder
97,BERMUDA,Delray RAWLINS,36,86 V BELGIUM AT ANTIGUA 2021,T20,All-Rounder
98,ROMANIA,Taranjeet SINGH,35,50 V CYPRUS AT VANTAA,T20,All-Rounder
99,BANGLADESH,Soumya SARKAR,34,103 V ZIMBABWE AT HARARE 2021,T20,All-Rounder
100,UGANDA,Dinesh NAKRANI,34,54 V PAPUA NEW GUINEA AT BULAWAYO 2022,T20,All-Rounder
1,INDIA,Suryakumar YADAV,861,910 V NEW ZEALAND AT RANCHI 2023,T20,Batter
2,ENGLAND,Phil SALT,802,802 V WEST INDIES AT TRINIDAD 2023,T20,Batter
3,PAKISTAN,Mohammad RIZWAN,800,875 V ENGLAND AT LAHORE 2022,T20,Batter
4,PAKISTAN,Babar AZAM,764,896 V ENGLAND AT CARDIFF 2019,T20,Batter
5,SOUTH AFRICA,Aiden MARKRAM,755,796 V ENGLAND AT SHARJAH 2021,T20,Batter
6,INDIA,Yashasvi JAISWAL,714,739 V AFGHANISTAN AT INDORE 2024,T20,Batter
7,NEW ZEALAND,Finn ALLEN,706,723 V PAKISTAN AT DUNEDIN 2024,T20,Batter
8,SOUTH AFRICA,Rilee ROSSOUW,689,724 V WEST INDIES AT JOHANNESBURG 2023,T20,Batter
9,ENGLAND,Jos BUTTLER,680,687 V WEST INDIES AT TRINIDAD 2023,T20,Batter
10,SOUTH AFRICA,Reeza HENDRICKS,660,674 V INDIA AT GQEBERHA 2023,T20,Batter
11,ENGLAND,Dawid MALAN,657,915 V SOUTH AFRICA AT CAPE TOWN 2020,T20,Batter
12,INDIA,Ruturaj GAIKWAD,654,700 V AUSTRALIA AT RAIPUR 2023,T20,Batter
13,WEST INDIES,Nicholas POORAN,646,667 V BANGLADESH AT GUYANA 2022,T20,Batter
14,WEST INDIES,Brandon KING,645,688 V ENGLAND AT GRENADA 2023,T20,Batter
15,NEW ZEALAND,Glenn PHILLIPS,640,703 V ENGLAND AT BRISBANE 2022,T20,Batter
16,UNITED ARAB EMIRATES,Muhammad WASEEM,637,716 V AFGHANISTAN AT ABU DHABI 2023,T20,Batter
17,AUSTRALIA,Mitchell MARSH,613,652 V SOUTH AFRICA AT DURBAN 2023,T20,Batter
18,SOUTH AFRICA,Quinton DE KOCK,610,671 V SRI LANKA AT COLOMBO (RPS) 2021,T20,Batter
19,AFGHANISTAN,Rahmanullah GURBAZ,599,620 V ZIMBABWE AT ABU DHABI 2021,T20,Batter
20,NEW ZEALAND,Tim SEIFERT,593,685 V PAKISTAN AT NAPIER 2020,T20,Batter
21,SRI LANKA,Pathum NISSANKA,587,698 V PAKISTAN AT DUBAI 2022,T20,Batter
22,ENGLAND,Alex HALES,581,866 V INDIA AT EDGBASTON 2014,T20,Batter
23,NEW ZEALAND,Devon CONWAY,580,831 V AUSTRALIA AT SYDNEY 2022,T20,Batter
24,BANGLADESH,Litton DAS,569,590 V IRELAND AT CHITTAGONG 2023,T20,Batter
25,SCOTLAND,Richie BERRINGTON,557,587 V OMAN AT OMAN 2021,T20,Batter
26,AFGHANISTAN,Ibrahim ZADRAN,556,556 V INDIA AT BENGALURU 2024,T20,Batter
27,NEW ZEALAND,Daryl MITCHELL,554,582 V SRI LANKA AT AUCKLAND 2023,T20,Batter
27,SRI LANKA,Charith ASALANKA,554,594 V AUSTRALIA AT PALLEKELE 2022,T20,Batter
29,SCOTLAND,George MUNSEY,550,599 V NETHERLANDS AT MALAHIDE 2019,T20,Batter
29,WEST INDIES,Rovman POWELL,550,563 V ENGLAND AT GRENADA 2023,T20,Batter
31,AUSTRALIA,Travis HEAD,548,548 V INDIA AT BENGALURU 2023,T20,Batter
31,INDIA,Rinku SINGH,548,548 V AFGHANISTAN AT BENGALURU 2024,T20,Batter
33,SRI LANKA,Kusal MENDIS,544,559 V NEW ZEALAND AT QUEENSTOWN 2023,T20,Batter
34,BANGLADESH,Najmul HOSSAIN SHANTO,543,593 V ENGLAND AT MIRPUR 2023,T20,Batter
35,AUSTRALIA,Glenn MAXWELL,536,838 V SRI LANKA AT ADELAIDE 2019,T20,Batter
36,AUSTRALIA,Josh INGLIS,535,595 V INDIA AT VISAKHAPATNAM 2023,T20,Batter
37,SOUTH AFRICA,David MILLER,533,588 V SRI LANKA AT CAPE TOWN 2019,T20,Batter
38,ENGLAND,Harry BROOK,531,561 V NEW ZEALAND AT OLD TRAFFORD 2023,T20,Batter
38,WEST INDIES,Kyle MAYERS,531,553 V ENGLAND AT GRENADA 2023,T20,Batter
40,ENGLAND,Liam LIVINGSTONE,526,546 V PAKISTAN AT HEADINGLEY 2021,T20,Batter
41,NEW ZEALAND,Mark CHAPMAN,523,561 V ENGLAND AT TRENT BRIDGE 2023,T20,Batter
42,IRELAND,Paul STIRLING,521,599 V UNITED ARAB EMIRATES AT DUBAI (GCA) 2021,T20,Batter
43,AUSTRALIA,Marcus STOINIS,517,531 V INDIA AT TRIVANDRUM 2023,T20,Batter
43,NETHERLANDS,Max O'DOWD,517,549 V KENYA AT DUBAI (GCA) 2019,T20,Batter
45,ENGLAND,Jonny BAIRSTOW,514,624 V SOUTH AFRICA AT CAPE TOWN 2020,T20,Batter
46,INDIA,Virat KOHLI,511,897 V ENGLAND AT EDGBASTON 2014,T20,Batter
47,AFGHANISTAN,Najibullah ZADRAN,498,556 V IRELAND AT ABU DHABI 2017,T20,Batter
48,SRI LANKA,Dasun SHANAKA,495,517 V INDIA AT RAJKOT 2023,T20,Batter
49,INDIA,Rohit SHARMA,492,719 V WEST INDIES AT LUCKNOW 2018,T20,Batter
50,AFGHANISTAN,Mohammad NABI,490,569 V BANGLADESH AT MIRPUR 2019,T20,Batter
50,WEST INDIES,Johnson CHARLES,490,604 V SOUTH AFRICA AT CENTURION 2023,T20,Batter
52,ENGLAND,Moeen ALI,484,525 V AUSTRALIA AT CANBERRA 2022,T20,Batter
52,INDIA,Ishan KISHAN,484,717 V IRELAND AT MALAHIDE 2022,T20,Batter
54,SRI LANKA,Bhanuka RAJAPAKSA,482,543 V ENGLAND AT SYDNEY 2022,T20,Batter
55,AUSTRALIA,David WARNER,481,826 V WEST INDIES AT ST LUCIA 2010,T20,Batter
55,AUSTRALIA,Matthew WADE,481,481 V INDIA AT BENGALURU 2023,T20,Batter
57,AFGHANISTAN,Hazratullah ZAZAI,479,736 V WEST INDIES AT LUCKNOW 2019,T20,Batter
57,PAKISTAN,Iftikhar AHMED,479,521 V NEW ZEALAND AT RAWALPINDI 2023,T20,Batter
59,ZIMBABWE,Sikandar RAZA,476,482 V SRI LANKA AT COLOMBO (RPS) 2024,T20,Batter
60,IRELAND,Andy BALBIRNIE,459,524 V HONG KONG AT ABU DHABI 2019,T20,Batter
60,NAMIBIA,Nikolaas DAVIN,459,540 V ZIMBABWE AT NAMIBIA 2023,T20,Batter
62,AUSTRALIA,Tim DAVID,458,476 V INDIA AT TRIVANDRUM 2023,T20,Batter
63,INDIA,Shubman GILL,456,573 V WEST INDIES AT LAUDERHILL 2023,T20,Batter
64,INDIA,Tilak VARMA,455,509 V WEST INDIES AT LAUDERHILL 2023,T20,Batter
65,BANGLADESH,Afif HOSSAIN,449,508 V NEW ZEALAND AT CHRISTCHURCH 2022,T20,Batter
65,NEW ZEALAND,Kane WILLIAMSON,449,761 V BANGLADESH AT NAPIER 2017,T20,Batter
67,ENGLAND,Ben DUCKETT,448,560 V PAKISTAN AT LAHORE 2022,T20,Batter
67,INDIA,KL RAHUL,448,854 V ENGLAND AT OLD TRAFFORD 2018,T20,Batter
69,PAPUA NEW GUINEA,Tony URA,447,563 V NAMIBIA AT DUBAI 2019,T20,Batter
70,UNITED ARAB EMIRATES,Vriitya ARAVIND,444,472 V NEW ZEALAND AT DUBAI 2023,T20,Batter
71,BANGLADESH,Shakib AL HASAN,442,619 V PAKISTAN AT MIRPUR 2015,T20,Batter
72,WEST INDIES,Sherfane RUTHERFORD,441,441 V ENGLAND AT TRINIDAD 2023,T20,Batter
73,PAKISTAN,Fakhar ZAMAN,436,841 V AUSTRALIA AT HARARE 2018,T20,Batter
74,INDIA,Shivam DUBE,424,472 V AFGHANISTAN AT INDORE 2024,T20,Batter
75,IRELAND,Curtis CAMPHER,423,435 V ZIMBABWE AT HARARE 2023,T20,Batter
76,NAMIBIA,JJ SMIT,420,444 V ZIMBABWE AT NAMIBIA 2023,T20,Batter
77,SOUTH AFRICA,Heinrich KLAASEN,418,494 V IRELAND AT BRISTOL 2022,T20,Batter
78,AUSTRALIA,Ben MCDERMOTT,415,415 V INDIA AT BENGALURU 2023,T20,Batter
78,INDIA,Hardik PANDYA,415,490 V WEST INDIES AT GUYANA 2023,T20,Batter
80,NAMIBIA,Gerhard ERASMUS,414,499 V IRELAND AT SHARJAH 2021,T20,Batter
81,INDIA,Shreyas IYER,411,622 V SOUTH AFRICA AT CUTTACK 2022,T20,Batter
82,HONG KONG,Babar HAYAT,407,499 V IRELAND AT BREADY 2016,T20,Batter
83,SRI LANKA,Dhananjaya DE SILVA,405,418 V NEW ZEALAND AT QUEENSTOWN 2023,T20,Batter
84,SOUTH AFRICA,Temba BAVUMA,402,482 V INDIA AT CUTTACK 2022,T20,Batter
85,PAKISTAN,Shan MASOOD,399,469 V ENGLAND AT MELBOURNE 2022,T20,Batter
86,CANADA,Aaron JOHNSON,398,447 V PANAMA AT BERMUDA 2023,T20,Batter
87,OMAN,Zeeshan MAQSOOD,396,445 V NEPAL AT OMAN 2022,T20,Batter
88,IRELAND,Harry TECTOR,395,416 V AFGHANISTAN AT BELFAST 2022,T20,Batter
89,NETHERLANDS,Colin ACKERMANN,393,393 V SOUTH AFRICA AT ADELAIDE 2022,T20,Batter
90,SRI LANKA,Kusal PERERA,392,752 V SOUTH AFRICA AT CHITTAGONG 2014,T20,Batter
91,NEW ZEALAND,James NEESHAM,390,410 V BANGLADESH AT BAY OVAL 2023,T20,Batter
92,WEST INDIES,Shai HOPE,389,389 V ENGLAND AT TRINIDAD 2023,T20,Batter
93,NEPAL,Rohit PAUDEL,387,387 V OMAN AT KIRTIPUR,T20,Batter
94,SCOTLAND,Matthew CROSS,385,478 V ZIMBABWE AT EDINBURGH 2021,T20,Batter
95,ZIMBABWE,Craig ERVINE,381,424 V NAMIBIA AT BULAWAYO 2022,T20,Batter
96,AUSTRALIA,Matthew SHORT,375,439 V SOUTH AFRICA AT DURBAN 2023,T20,Batter
97,ZIMBABWE,Ryan BURL,372,407 V IRELAND AT BREADY 2021,T20,Batter
98,ZIMBABWE,Wessly MADHEVERE,371,514 V AFGHANISTAN AT HARARE 2022,T20,Batter
99,WEST INDIES,Shimron HETMYER,370,481 V AUSTRALIA AT ABU DHABI 2021,T20,Batter
100,OMAN,Jatinder SINGH,366,524 V BANGLADESH AT OMAN 2021,T20,Batter
1,ENGLAND,Adil RASHID,726,746 V WEST INDIES AT BARBADOS 2022,T20,Bowler
2,WEST INDIES,Akeal HOSEIN,683,683 V ENGLAND AT TRINIDAD 2023,T20,Bowler
3,SRI LANKA,Maheesh THEEKSHANA,679,684 V NEW ZEALAND AT QUEENSTOWN 2023,T20,Bowler
4,SRI LANKA,Wanindu HASARANGA,676,797 V WEST INDIES AT ABU DHABI 2021,T20,Bowler
5,INDIA,Axar PATEL,660,667 V AFGHANISTAN AT INDORE 2024,T20,Bowler
6,INDIA,Ravi BISHNOI,659,699 V AUSTRALIA AT BENGALURU 2023,T20,Bowler
7,SOUTH AFRICA,Tabraiz SHAMSI,654,821 V WEST INDIES AT GRENADA 2021,T20,Bowler
8,AFGHANISTAN,Rashid KHAN,651,816 V BANGLADESH AT DEHRADUN 2018,T20,Bowler
9,NEW ZEALAND,Mitchell SANTNER,650,724 V PAKISTAN AT WELLINGTON 2018,T20,Bowler
10,ENGLAND,Reece TOPLEY,643,662 V AUSTRALIA AT CANBERRA 2022,T20,Bowler
11,NEW ZEALAND,Tim SOUTHEE,639,669 V BANGLADESH AT AUCKLAND 2021,T20,Bowler
12,AFGHANISTAN,Fazalhaq FAROOQI,639,692 V PAKISTAN AT SHARJAH 2023,T20,Bowler
13,AUSTRALIA,Josh HAZLEWOOD,637,806 V SRI LANKA AT SYDNEY 2022,T20,Bowler
14,SOUTH AFRICA,Anrich NORTJE,634,695 V INDIA AT CUTTACK 2022,T20,Bowler
