Pos,Team,Players,Rating,Career Best Rating,event,type
48,INDIA,Mohammed SIRAJ,146,155 V AUSTRALIA AT AHMEDABAD 2023,ODI,All-Rounder
49,IRELAND,George DOCKRELL,145,170 V ZIMBABWE AT HOBART 2015,ODI,All-Rounder
50,SCOTLAND,Safyaan SHARIF,145,158 V NAMIBIA AT KIRTIPUR,ODI,All-Rounder
51,NEPAL,Sandeep LAMICHHANE,144,155 V IRELAND AT HARARE 2023,ODI,All-Rounder
52,NAMIBIA,JJ SMIT,143,178 V NEPAL AT NAMIBIA 2022,ODI,All-Rounder
53,AUSTRALIA,Mitchell MARSH,142,313 V NEW ZEALAND AT CANBERRA 2016,ODI,All-Rounder
54,WEST INDIES,Jason HOLDER,141,309 V ZIMBABWE AT HARARE 2018,ODI,All-Rounder
55,ENGLAND,Sam CURRAN,140,161 V NEW ZEALAND AT LORD'S 2023,ODI,All-Rounder
56,PAPUA NEW GUINEA,Chad SOPER,139,164 V USA AT AMINI PARK 2022,ODI,All-Rounder
57,AUSTRALIA,Travis HEAD,138,184 V ENGLAND AT EDGBASTON 2017,ODI,All-Rounder
58,NEPAL,Sompal KAMI,137,143 V ZIMBABWE AT HARARE 2023,ODI,All-Rounder
59,AUSTRALIA,Marcus STOINIS,137,237 V INDIA AT RANCHI 2019,ODI,All-Rounder
60,USA,Nosthush KENJIGE,137,137 V UNITED ARAB EMIRATES AT HARARE 2023,ODI,All-Rounder
61,NAMIBIA,Ruben TRUMPELMANN,137,137 V CANADA AT NAMIBIA 2023,ODI,All-Rounder
62,SOUTH AFRICA,Lungi NGIDI,136,166 V ENGLAND AT MUMBAI 2023,ODI,All-Rounder
63,AUSTRALIA,Mitchell STARC,135,227 V NEW ZEALAND AT MELBOURNE 2015,ODI,All-Rounder
64,NEW ZEALAND,Trent BOULT,132,210 V INDIA AT OLD TRAFFORD 2019,ODI,All-Rounder
65,AUSTRALIA,Cameron GREEN,132,138 V INDIA AT RAJKOT 2023,ODI,All-Rounder
66,AFGHANISTAN,Azmatullah OMARZAI,132,132 V SOUTH AFRICA AT AHMEDABAD 2023,ODI,All-Rounder
67,ENGLAND,Ben STOKES,131,303 V NEW ZEALAND AT LORD'S 2019,ODI,All-Rounder
68,AUSTRALIA,Pat CUMMINS,131,171 V NEW ZEALAND AT LORD'S 2019,ODI,All-Rounder
69,OMAN,Aqib ILYAS,130,169 V NAMIBIA AT NAMIBIA 2021,ODI,All-Rounder
70,INDIA,Jasprit BUMRAH,127,196 V NEW ZEALAND AT OLD TRAFFORD 2019,ODI,All-Rounder
71,NEW ZEALAND,Daryl MITCHELL,125,132 V INDIA AT MUMBAI 2023,ODI,All-Rounder
72,PAPUA NEW GUINEA,Norman VANUA,123,144 V NAMIBIA AT AMINI PARK 2022,ODI,All-Rounder
73,OMAN,Bilal KHAN,123,132 V USA AT TEXAS 2022,ODI,All-Rounder
74,OMAN,KALEEMULLAH,123,136 V USA AT TEXAS 2022,ODI,All-Rounder
75,USA,Nisarg PATEL,123,136 V JERSEY AT NAMIBIA 2023,ODI,All-Rounder
76,WEST INDIES,Akieal HOSEIN,123,148 V SCOTLAND AT HARARE 2023,ODI,All-Rounder
77,SOUTH AFRICA,Andile PHEHLUKWAYO,122,245 V AFGHANISTAN AT CARDIFF 2019,ODI,All-Rounder
78,PAKISTAN,Haris RAUF,122,122 V ENGLAND AT KOLKATA 2023,ODI,All-Rounder
79,SOUTH AFRICA,Tabraiz SHAMSI,121,131 V AUSTRALIA AT POTCHEFSTROOM 2023,ODI,All-Rounder
80,BANGLADESH,Mustafizur RAHMAN,119,189 V WEST INDIES AT SYLHET 2018,ODI,All-Rounder
81,AFGHANISTAN,Gulbadin NAIB,118,191 V IRELAND AT DEHRADUN 2019,ODI,All-Rounder
82,ZIMBABWE,Richard NGARAVA,118,118 V SRI LANKA AT COLOMBO (RPS) 2024,ODI,All-Rounder
83,NEW ZEALAND,Glenn PHILLIPS,118,126 V INDIA AT MUMBAI 2023,ODI,All-Rounder
84,WEST INDIES,Roston CHASE,118,132 V SRI LANKA AT PALLEKELE 2020,ODI,All-Rounder
85,PAKISTAN,Mohammad NAWAZ,117,128 V SRI LANKA AT HYDERABAD 2023,ODI,All-Rounder
86,ENGLAND,Liam LIVINGSTONE,117,117 V WEST INDIES AT BARBADOS 2023,ODI,All-Rounder
87,UNITED ARAB EMIRATES,Basil HAMEED,117,153 V NEPAL AT KIRTIPUR,ODI,All-Rounder
88,USA,Saurabh NETRAVALKAR,116,120 V NETHERLANDS AT HARARE 2023,ODI,All-Rounder
89,IRELAND,Joshua LITTLE,114,116 V ZIMBABWE AT HARARE 2023,ODI,All-Rounder
90,IRELAND,Harry TECTOR,114,126 V OMAN AT BULAWAYO 2023,ODI,All-Rounder
91,AFGHANISTAN,Fazalhaq FAROOQI,114,120 V SRI LANKA AT PUNE 2023,ODI,All-Rounder
92,SRI LANKA,Dilshan MADUSHANKA,114,114 V ZIMBABWE AT COLOMBO (RPS) 2024,ODI,All-Rounder
93,PAPUA NEW GUINEA,Charles AMINI,113,172 V NAMIBIA AT AMINI PARK 2022,ODI,All-Rounder
94,SRI LANKA,Dasun SHANAKA,111,141 V BANGLADESH AT COLOMBO (RPS) 2023,ODI,All-Rounder
95,NEW ZEALAND,Matt HENRY,110,181 V AUSTRALIA AT SYDNEY 2016,ODI,All-Rounder
96,NEPAL,Karan KC,110,110 V INDIA AT PALLEKELE 2023,ODI,All-Rounder
97,NAMIBIA,Jan FRYLINCK,108,163 V PAPUA NEW GUINEA AT AMINI PARK 2022,ODI,All-Rounder
98,PAKISTAN,Hasan ALI,107,194 V NEW ZEALAND AT NELSON 2018,ODI,All-Rounder
99,OMAN,Mohammad NADEEM,105,106 V NETHERLANDS AT HARARE 2023,ODI,All-Rounder
100,WEST INDIES,Romario SHEPHERD,105,114 V AUSTRALIA AT MELBOURNE 2024,ODI,All-Rounder
1,PAK,Babar AZAM,824,898 V WEST INDIES AT MULTAN 2022,ODI,Batter
2,INDIA,Shubman GILL,801,847 V AUSTRALIA AT INDORE 2023,ODI,Batter
3,INDIA,Virat KOHLI,768,909 V ENGLAND AT HEADINGLEY 2018,ODI,Batter
4,INDIA,Rohit SHARMA,746,882 V SRI LANKA AT HEADINGLEY 2019,ODI,Batter
5,NEW ZEALAND,Daryl MITCHELL,728,750 V INDIA AT MUMBAI 2023,ODI,Batter
6,AUSTRALIA,David WARNER,723,869 V PAKISTAN AT ADELAIDE 2017,ODI,Batter
